"Cat","Name","Patch","Strong","Weak","ReqLevel","AvgIL"
"Raids","Eden's Gate: Resurrection","5.01","5.01","5.01","80","425"
"Raids","Eden's Gate: Descent","5.01","5.01","5.01","80","425"
"Raids","Eden's Gate: Inundation","5.01","5.01","5.01","80","425"
"Raids","Eden's Gate: Sepulture","5.01","5.01","5.01","80","425"
"Raids","Eden's Verse: Fulmination","5.2","5.2","5.2","80","455"
"Raids","Eden's Verse: Furor","5.2","5.2","5.2","80","455"
"Raids","Eden's Verse: Iconoclasm","5.2","5.2","5.2","80","455"
"Raids","Eden's Verse: Refulgence","5.2","5.2","5.2","80","455"
"Raids","Eden's Promise: Umbra","5.4","5.4","5.4","80","485"
"Raids","Eden's Promise: Litany","5.4","5.4","5.4","80","485"
"Raids","Eden's Promise: Anamorphosis","5.4","5.4","5.4","80","485"
"Raids","Eden's Promise: Eternity","5.4","5.4","5.4","80","485"
"Raids","Eden's Gate: Resurrection (Savage)","5.05","5.05","5.05","80","440"
"Raids","Eden's Gate: Descent (Savage)","5.05","5.05","5.05","80","445"
"Raids","Eden's Gate: Inundation (Savage)","5.05","5.05","5.05","80","450"
"Raids","Eden's Gate: Sepulture (Savage)","5.05","5.05","5.05","80","450"
"Raids","Eden's Verse: Fulmination (Savage)","5.2","5.2","5.2","80","470"
"Raids","Eden's Verse: Furor (Savage)","5.2","5.2","5.2","80","475"
"Raids","Eden's Verse: Iconoclasm (Savage)","5.2","5.2","5.2","80","480"
"Raids","Eden's Verse: Refulgence (Savage)","5.2","5.2","5.2","80","480"
"Raids","Eden's Promise: Umbra (Savage)","5.4","5.4","5.4","80","500"
"Raids","Eden's Promise: Litany (Savage)","5.4","5.4","5.4","80","505"
"Raids","Eden's Promise: Anamorphosis (Savage)","5.4","5.4","5.4","80","510"
"Raids","Eden's Promise: Eternity (Savage)","5.4","5.4","5.4","80","510"
"Raids","Aglaia","6.1","6.1","6.1","90","565"
"Raids","Euphrosyne","6.3","6.3","6.3","90","595"
"Raids","Thaleia","6.5","6.5","6.5","90","625"
"Raids","Asphodelos: The First Circle","6.01","6.01","6.01","90","565"
"Raids","Asphodelos: The Second Circle","6.01","6.01","6.01","90","565"
"Raids","Asphodelos: The Third Circle","6.01","6.01","6.01","90","565"
"Raids","Asphodelos: The Fourth Circle","6.01","6.01","6.01","90","565"
"Raids","Abyssos: The Fifth Circle","6.2","6.2","6.2","90","585"
"Raids","Abyssos: The Sixth Circle","6.2","6.2","6.2","90","585"
"Raids","Abyssos: The Seventh Circle","6.2","6.2","6.2","90","585"
"Raids","Abyssos: The Eighth Circle","6.2","6.2","6.2","90","585"
"Raids","Anabaseios: The Ninth Circle","6.4","6.4","6.4","90","615"
"Raids","Anabaseios: The Tenth Circle","6.4","6.4","6.4","90","615"
"Raids","Anabaseios: The Eleventh Circle","6.4","6.4","6.4","90","615"
"Raids","Anabaseios: The Twelfth Circle","6.4","6.4","6.4","90","615"
"Raids","Asphodelos: The First Circle (Savage)","6.05","6.05","6.05","90","570"
"Raids","Asphodelos: The Second Circle (Savage)","6.05","6.05","6.05","90","575"
"Raids","Asphodelos: The Third Circle (Savage)","6.05","6.05","6.05","90","580"
"Raids","Asphodelos: The Fourth Circle (Savage)","6.05","6.05","6.05","90","580"
"Raids","Abyssos: The Fifth Circle (Savage)","6.2","6.2","6.2","90","600"
"Raids","Abyssos: The Sixth Circle (Savage)","6.2","6.2","6.2","90","605"
"Raids","Abyssos: The Seventh Circle (Savage)","6.2","6.2","6.2","90","610"
"Raids","Abyssos: The Eighth Circle (Savage)","6.2","6.2","6.2","90","610"
"Raids","Anabaseios: The Ninth Circle (Savage)","6.4","6.4","6.4","90","630"
"Raids","Anabaseios: The Tenth Circle (Savage)","6.4","6.4","6.4","90","635"
"Raids","Anabaseios: The Eleventh Circle (Savage)","6.4","6.4","6.4","90","640"
"Raids","Anabaseios: The Twelfth Circle (Savage)","6.4","6.4","6.4","90","640"
"Raids","Jeuno: The First Walk","7.1","7.1","7.1","100","695"
"Raids","San d'Oria: The Second Walk","7.3","7.3","7.3","100","725"
"Raids","Windurst: The Third Walk","7.5","7.5","7.5","100","755"
"Raids","AAC Light-heavyweight M1","7.01","7.01","7.01","100","685"
"Raids","AAC Light-heavyweight M2","7.01","7.01","7.01","100","685"
"Raids","AAC Light-heavyweight M3","7.01","7.01","7.01","100","685"
"Raids","AAC Light-heavyweight M4","7.01","7.01","7.01","100","685"
"Raids","AAC Cruiserweight M1","7.2","7.2","7.2","100","715"
"Raids","AAC Cruiserweight M2","7.2","7.2","7.2","100","715"
"Raids","AAC Cruiserweight M3","7.2","7.2","7.2","100","715"
"Raids","AAC Cruiserweight M4","7.2","7.2","7.2","100","715"
"Raids","AAC Heavyweight M1","7.4","7.4","7.4","100","745"
"Raids","AAC Heavyweight M2","7.4","7.4","7.4","100","745"
"Raids","AAC Heavyweight M3","7.4","7.4","7.4","100","745"
"Raids","AAC Heavyweight M4","7.4","7.4","7.4","100","745"
"Raids","AAC Light-heavyweight M1 (Savage)","7.05","7.05","7.05","100","700"
"Raids","AAC Light-heavyweight M2 (Savage)","7.05","7.05","7.05","100","705"
"Raids","AAC Light-heavyweight M3 (Savage)","7.05","7.05","7.05","100","710"
"Raids","AAC Light-heavyweight M4 (Savage)","7.05","7.05","7.05","100","710"
"Raids","AAC Cruiserweight M1 (Savage)","7.2","7.2","7.2","100","730"
"Raids","AAC Cruiserweight M2 (Savage)","7.2","7.2","7.2","100","735"
"Raids","AAC Cruiserweight M3 (Savage)","7.2","7.2","7.2","100","740"
"Raids","AAC Cruiserweight M4 (Savage)","7.2","7.2","7.2","100","740"
"Raids","AAC Heavyweight M1 (Savage)","7.4","7.4","7.4","100","760"
"Raids","AAC Heavyweight M2 (Savage)","7.4","7.4","7.4","100","765"
"Raids","AAC Heavyweight M3 (Savage)","7.4","7.4","7.4","100","770"
"Raids","AAC Heavyweight M4 (Savage)","7.4","7.4","7.4","100","770"
"Ultimate","The Unending Coil of Bahamut (Ultimate)","4.11","4.11","4.1","70","-"
"Ultimate","The Weapon's Refrain (Ultimate)","4.31","4.31","4.3","70","-"
"Ultimate","The Epic of Alexander (Ultimate)","5.11","5.11","5.1","80","-"
"Ultimate","Dragonsong's Reprise (Ultimate)","6.11","6.11","6.1","90","-"
"Ultimate","The Omega Protocol (Ultimate)","6.3","","6.3","90","-"
"Ultimate","Futures Rewritten (Ultimate)","7.11","7.11","7.1","100","-"
"Ultimate","Dancing Mad (Ultimate)","7.51","7.51","7.5","100","-"
