"Cat","Ver","Name","ReqLevel","AvgIL","MaxDropIL","New"
"Raids","4","Asphodelos: The Third Circle (Savage)","90","580","0",""
"Raids","4","Asphodelos: The Fourth Circle (Savage)","90","580","605",""
"Raids","4","Abyssos: The Fifth Circle (Savage)","90","600","0",""
"Raids","4","Abyssos: The Sixth Circle (Savage)","90","605","0",""
"Raids","4","Abyssos: The Seventh Circle (Savage)","90","610","0",""
"Raids","4","Abyssos: The Eighth Circle (Savage)","90","610","635",""
"Raids","4","Anabaseios: The Ninth Circle (Savage)","90","630","0",""
"Raids","4","Anabaseios: The Tenth Circle (Savage)","90","635","0",""
"Raids","4","Anabaseios: The Eleventh Circle (Savage)","90","640","0",""
"Raids","4","Anabaseios: The Twelfth Circle (Savage)","90","640","665",""
"Raids","5","Jeuno: The First Walk","100","695","720",""
"Raids","5","San d'Oria: The Second Walk","100","725","750",""
"Raids","5","Windurst: The Third Walk","100","755","780","NEW"
"Raids","5","AAC Light-heavyweight M1","100","685","0",""
"Raids","5","AAC Light-heavyweight M2","100","685","0",""
"Raids","5","AAC Light-heavyweight M3","100","685","0",""
"Raids","5","AAC Light-heavyweight M4","100","685","0",""
"Raids","5","AAC Cruiserweight M1","100","715","0",""
"Raids","5","AAC Cruiserweight M2","100","715","0",""
"Raids","5","AAC Cruiserweight M3","100","715","0",""
"Raids","5","AAC Cruiserweight M4","100","715","0",""
"Raids","5","AAC Heavyweight M1","100","745","0",""
"Raids","5","AAC Heavyweight M2","100","745","0",""
"Raids","5","AAC Heavyweight M3","100","745","0",""
"Raids","5","AAC Heavyweight M4","100","745","0",""
"Raids","5","AAC Light-heavyweight M1 (Savage)","100","700","0",""
"Raids","5","AAC Light-heavyweight M2 (Savage)","100","705","0",""
"Raids","5","AAC Light-heavyweight M3 (Savage)","100","710","0",""
"Raids","5","AAC Light-heavyweight M4 (Savage)","100","710","735",""
"Raids","5","AAC Cruiserweight M1 (Savage)","100","730","0",""
"Raids","5","AAC Cruiserweight M2 (Savage)","100","735","0",""
"Raids","5","AAC Cruiserweight M3 (Savage)","100","740","0",""
"Raids","5","AAC Cruiserweight M4 (Savage)","100","740","765",""
"Raids","5","AAC Heavyweight M1 (Savage)","100","760","0",""
"Raids","5","AAC Heavyweight M2 (Savage)","100","765","0",""
"Raids","5","AAC Heavyweight M3 (Savage)","100","770","0",""
"Raids","5","AAC Heavyweight M4 (Savage)","100","770","795",""
"Ultimate","2","The Unending Coil of Bahamut (Ultimate)","70","-","0",""
"Ultimate","2","The Weapon's Refrain (Ultimate)","70","-","0",""
"Ultimate","3","The Epic of Alexander (Ultimate)","80","-","0",""
"Ultimate","4","Dragonsong's Reprise (Ultimate)","90","-","0",""
"Ultimate","4","The Omega Protocol (Ultimate)","90","-","0",""
"Ultimate","5","Futures Rewritten (Ultimate)","100","-","0",""
"Ultimate","5","Dancing Mad (Ultimate)","100","-","0","NEW"
