"Cat","Ver","Name","ReqLevel","AvgItemLevel","New","Link"
"Trials","0","The Striking Tree (Extreme)","50","85","","/lodestone/playguide/db/duty/4d8cae741db/"
"Trials","0","The Akh Afah Amphitheatre (Extreme)","50","95","","/lodestone/playguide/db/duty/5f786d57228/"
"Trials","1","Thok ast Thok (Hard)","53","-","","/lodestone/playguide/db/duty/f55bdb9e34e/"
"Trials","1","The Limitless Blue (Hard)","57","-","","/lodestone/playguide/db/duty/26fe48f4631/"
"Trials","1","The Singularity Reactor","60","142","","/lodestone/playguide/db/duty/12c172943bc/"
"Trials","1","The Final Steps of Faith","60","205","","/lodestone/playguide/db/duty/2caf2e26f12/"
"Trials","1","Containment Bay S1T7","60","190","","/lodestone/playguide/db/duty/08c9d224d28/"
"Trials","1","Containment Bay P1T6","60","220","","/lodestone/playguide/db/duty/83e0064270d/"
"Trials","1","Containment Bay Z1T9","60","235","","/lodestone/playguide/db/duty/8ff3c52798c/"
"Trials","1","The Limitless Blue (Extreme)","60","165","","/lodestone/playguide/db/duty/e9bb63551a4/"
"Trials","1","Thok ast Thok (Extreme)","60","175","","/lodestone/playguide/db/duty/83f028575c8/"
"Trials","1","The Minstrel's Ballad: Thordan's Reign","60","190","","/lodestone/playguide/db/duty/a8a4860068c/"
"Trials","1","The Minstrel's Ballad: Nidhogg's Rage","60","220","","/lodestone/playguide/db/duty/0e880006330/"
"Trials","1","Containment Bay S1T7 (Extreme)","60","205","","/lodestone/playguide/db/duty/e05c982993d/"
"Trials","1","Containment Bay P1T6 (Extreme)","60","235","","/lodestone/playguide/db/duty/212ceb19a34/"
"Trials","1","Containment Bay Z1T9 (Extreme)","60","250","","/lodestone/playguide/db/duty/26a86785be9/"
"Trials","2","The Pool of Tribute","63","-","","/lodestone/playguide/db/duty/5806cb2d995/"
"Trials","2","Emanation","67","-","","/lodestone/playguide/db/duty/7992a4eab66/"
"Trials","2","The Royal Menagerie","70","280","","/lodestone/playguide/db/duty/13be0500007/"
"Trials","2","Castrum Fluminis","70","335","","/lodestone/playguide/db/duty/10fe97ad942/"
"Trials","2","Kugane Ohashi","70","365","","/lodestone/playguide/db/duty/bad56c435a5/"
"Trials","2","The Great Hunt","70","320","","/lodestone/playguide/db/duty/a8b065d443b/"
"Trials","2","The Jade Stoa","70","325","","/lodestone/playguide/db/duty/f1fc9fb6093/"
"Trials","2","Hells' Kier","70","355","","/lodestone/playguide/db/duty/ea0f6440546/"
"Trials","2","The Wreath of Snakes","70","365","","/lodestone/playguide/db/duty/c19b83441e4/"
"Trials","2","The Pool of Tribute (Extreme)","70","300","","/lodestone/playguide/db/duty/b28f61e6212/"
"Trials","2","Emanation (Extreme)","70","300","","/lodestone/playguide/db/duty/7de6a27d145/"
"Trials","2","The Minstrel's Ballad: Shinryu's Domain","70","320","","/lodestone/playguide/db/duty/8c829b8dd8c/"
"Trials","2","The Minstrel's Ballad: Tsukuyomi's Pain","70","350","","/lodestone/playguide/db/duty/0919d2674e0/"
"Trials","2","The Great Hunt (Extreme)","70","350","","/lodestone/playguide/db/duty/52328939737/"
"Trials","2","The Jade Stoa (Extreme)","70","340","","/lodestone/playguide/db/duty/44fc4abc0eb/"
"Trials","2","Hells' Kier (Extreme)","70","370","","/lodestone/playguide/db/duty/628e9a05d34/"
"Trials","2","The Wreath of Snakes (Extreme)","70","380","","/lodestone/playguide/db/duty/c79d50c803d/"
"Trials","3","The Dancing Plague","73","-","","/lodestone/playguide/db/duty/dbf2007968d/"
"Trials","3","The Crown of the Immaculate","79","-","","/lodestone/playguide/db/duty/0b1d4434e26/"
"Trials","3","The Dying Gasp","80","410","","/lodestone/playguide/db/duty/6b31d339381/"
"Trials","3","Cinder Drift","80","455","","/lodestone/playguide/db/duty/793ed012f43/"
"Trials","3","The Seat of Sacrifice","80","465","","/lodestone/playguide/db/duty/16b75e706b3/"
"Trials","3","Castrum Marinum","80","485","","/lodestone/playguide/db/duty/cd08ecb15cc/"
"Trials","3","The Cloud Deck","80","495","","/lodestone/playguide/db/duty/138006e2d76/"
"Trials","3","The Dancing Plague (Extreme)","80","430","","/lodestone/playguide/db/duty/bad53f19540/"
"Trials","3","The Crown of the Immaculate (Extreme)","80","430","","/lodestone/playguide/db/duty/55504d0495f/"
"Trials","3","The Minstrel's Ballad: Hades's Elegy","80","450","","/lodestone/playguide/db/duty/b2e08d16bce/"
"Trials","3","Cinder Drift (Extreme)","80","470","","/lodestone/playguide/db/duty/b388be5eb05/"
"Trials","3","Memoria Misera (Extreme)","80","470","","/lodestone/playguide/db/duty/841d3f69efd/"
"Trials","3","The Seat of Sacrifice (Extreme)","80","480","","/lodestone/playguide/db/duty/1543e03ff37/"
"Trials","3","Castrum Marinum (Extreme)","80","500","","/lodestone/playguide/db/duty/16e9780d10e/"
"Trials","3","The Cloud Deck (Extreme)","80","510","","/lodestone/playguide/db/duty/c4a2acf0912/"
"Trials","4","The Dark Inside","83","-","","/lodestone/playguide/db/duty/6eed2137942/"
"Trials","4","The Mothercrystal","89","-","","/lodestone/playguide/db/duty/044b34a37ca/"
"Trials","4","The Final Day","90","540","","/lodestone/playguide/db/duty/7b4070f67f6/"
"Trials","4","Storm's Crown","90","585","","/lodestone/playguide/db/duty/7db24777c99/"
"Trials","4","Mount Ordeals","90","595","","/lodestone/playguide/db/duty/524d9878b6b/"
"Trials","4","The Voidcast Dais","90","615","","/lodestone/playguide/db/duty/f1f90009296/"
"Trials","4","The Abyssal Fracture","90","625","","/lodestone/playguide/db/duty/dd8721dfa4b/"
"Trials","4","The Gilded Araya","90","625","","/lodestone/playguide/db/duty/17ba391b62b/"
"Trials","4","The Minstrel's Ballad: Zodiark's Fall","90","560","","/lodestone/playguide/db/duty/f40a8f14d6d/"
"Trials","4","The Minstrel's Ballad: Hydaelyn's Call","90","560","","/lodestone/playguide/db/duty/0dbba05fd0f/"
"Trials","4","The Minstrel's Ballad: Endsinger's Aria","90","580","","/lodestone/playguide/db/duty/0c90d0fd67b/"
"Trials","4","Storm's Crown (Extreme)","90","600","","/lodestone/playguide/db/duty/7aa78623503/"
"Trials","4","Mount Ordeals (Extreme)","90","610","","/lodestone/playguide/db/duty/0eb5dd38d5a/"
"Trials","4","The Voidcast Dais (Extreme)","90","630","","/lodestone/playguide/db/duty/ea1daa24090/"
"Trials","4","The Abyssal Fracture (Extreme)","90","640","","/lodestone/playguide/db/duty/04dba833267/"
"Trials","5","Shinryu's Domain (Unreal)","100","690","NEW","/lodestone/playguide/db/duty/7b80a63cb62/"
"Trials","5","Worqor Lar Dor","93","-","","/lodestone/playguide/db/duty/2fc80be63e2/"
"Trials","5","Everkeep","99","-","","/lodestone/playguide/db/duty/72c4bd9bafa/"
"Trials","5","The Interphos","100","670","","/lodestone/playguide/db/duty/ba0e236d90e/"
"Trials","5","Recollection","100","715","","/lodestone/playguide/db/duty/7b8ecdbd6af/"
"Trials","5","The Ageless Necropolis","100","725","","/lodestone/playguide/db/duty/8fc44efcf27/"
"Trials","5","The Windward Wilds","100","725","","/lodestone/playguide/db/duty/5c0593fafa3/"
"Trials","5","Hell on Rails","100","745","","/lodestone/playguide/db/duty/2db4beb1880/"
"Trials","5","The Unmaking","100","755","NEW","/lodestone/playguide/db/duty/34eee313091/"
"Trials","5","Worqor Lar Dor (Extreme)","100","690","","/lodestone/playguide/db/duty/ccc7473c187/"
"Trials","5","Everkeep (Extreme)","100","690","","/lodestone/playguide/db/duty/515c012009a/"
"Trials","5","The Minstrel's Ballad: Sphene's Burden","100","710","","/lodestone/playguide/db/duty/aa6e7d00035/"
"Trials","5","Recollection (Extreme)","100","730","","/lodestone/playguide/db/duty/f68051c8d60/"
"Trials","5","The Minstrel's Ballad: Necron's Embrace","100","740","","/lodestone/playguide/db/duty/403fcc21435/"
"Trials","5","The Windward Wilds (Extreme)","100","740","","/lodestone/playguide/db/duty/6a12ba25136/"
"Trials","5","Hell on Rails (Extreme)","100","760","","/lodestone/playguide/db/duty/f6df7a9a911/"
"Trials","5","The Unmaking (Extreme)","100","770","NEW","/lodestone/playguide/db/duty/3fb8752a6df/"
"Raids","0","The Labyrinth of the Ancients","50","50","","/lodestone/playguide/db/duty/d9f4e986d0e/"
"Raids","0","Syrcus Tower","50","70","","/lodestone/playguide/db/duty/47eb1d018b6/"
"Raids","0","The World of Darkness","50","90","","/lodestone/playguide/db/duty/7f0a3551ab6/"
"Raids","0","The Binding Coil of Bahamut - Turn 1","50","70","","/lodestone/playguide/db/duty/fade6531524/"
"Raids","0","The Binding Coil of Bahamut - Turn 2","50","73","","/lodestone/playguide/db/duty/9c359c635d7/"
"Raids","0","The Binding Coil of Bahamut - Turn 3","50","70","","/lodestone/playguide/db/duty/e67a875fc85/"
"Raids","0","The Binding Coil of Bahamut - Turn 4","50","77","","/lodestone/playguide/db/duty/f5e0e0bdfbe/"
"Raids","0","The Binding Coil of Bahamut - Turn 5","50","82","","/lodestone/playguide/db/duty/7134211f501/"
"Raids","0","The Second Coil of Bahamut - Turn 1","50","90","","/lodestone/playguide/db/duty/744fe0d9e6e/"
"Raids","0","The Second Coil of Bahamut - Turn 2","50","95","","/lodestone/playguide/db/duty/400cba1a77d/"
"Raids","0","The Second Coil of Bahamut - Turn 3","50","100","","/lodestone/playguide/db/duty/87e821480bb/"
"Raids","0","The Second Coil of Bahamut - Turn 4","50","105","","/lodestone/playguide/db/duty/1fed5f286f0/"
"Raids","0","The Final Coil of Bahamut - Turn 1","50","110","","/lodestone/playguide/db/duty/debdbcb0b6a/"
"Raids","0","The Final Coil of Bahamut - Turn 2","50","115","","/lodestone/playguide/db/duty/bcb01b1b218/"
"Raids","0","The Final Coil of Bahamut - Turn 3","50","120","","/lodestone/playguide/db/duty/d23c00881c6/"
"Raids","0","The Final Coil of Bahamut - Turn 4","50","123","","/lodestone/playguide/db/duty/f086f0517d0/"
"Raids","0","The Second Coil of Bahamut (Savage) - Turn 1","50","105","","/lodestone/playguide/db/duty/80a9ef97b78/"
"Raids","0","The Second Coil of Bahamut (Savage) - Turn 2","50","105","","/lodestone/playguide/db/duty/853b4775a42/"
"Raids","0","The Second Coil of Bahamut (Savage) - Turn 3","50","105","","/lodestone/playguide/db/duty/a674fe41a1a/"
"Raids","0","The Second Coil of Bahamut (Savage) - Turn 4","50","105","","/lodestone/playguide/db/duty/0065196fbe4/"
"Raids","1","The Void Ark","60","175","","/lodestone/playguide/db/duty/07fc9cb5bc8/"
"Raids","1","The Weeping City of Mhach","60","205","","/lodestone/playguide/db/duty/b0a1515fd3d/"
"Raids","1","Dun Scaith","60","235","","/lodestone/playguide/db/duty/35a8825ed8e/"
"Raids","1","Alexander - The Fist of the Father","60","170","","/lodestone/playguide/db/duty/5877d34ab3d/"
"Raids","1","Alexander - The Cuff of the Father","60","170","","/lodestone/playguide/db/duty/157799be6d1/"
"Raids","1","Alexander - The Arm of the Father","60","170","","/lodestone/playguide/db/duty/16d0ba16753/"
"Raids","1","Alexander - The Burden of the Father","60","170","","/lodestone/playguide/db/duty/0e9dbcd3e88/"
"Raids","1","Alexander - The Fist of the Son","60","200","","/lodestone/playguide/db/duty/39c6854e6a8/"
"Raids","1","Alexander - The Cuff of the Son","60","200","","/lodestone/playguide/db/duty/1a42720a2b8/"
"Raids","1","Alexander - The Arm of the Son","60","200","","/lodestone/playguide/db/duty/b919a88ec20/"
"Raids","1","Alexander - The Burden of the Son","60","200","","/lodestone/playguide/db/duty/d3146ecb9f8/"
"Raids","1","Alexander - The Eyes of the Creator","60","230","","/lodestone/playguide/db/duty/91e7c2d4647/"
"Raids","1","Alexander - The Breath of the Creator","60","230","","/lodestone/playguide/db/duty/54cc9b3db16/"
"Raids","1","Alexander - The Heart of the Creator","60","230","","/lodestone/playguide/db/duty/3c58fc35be5/"
"Raids","1","Alexander - The Soul of the Creator","60","230","","/lodestone/playguide/db/duty/5516e8fd14f/"
"Raids","1","Alexander - The Fist of the Father (Savage)","60","190","","/lodestone/playguide/db/duty/747c862dc22/"
"Raids","1","Alexander - The Cuff of the Father (Savage)","60","195","","/lodestone/playguide/db/duty/820a11812ab/"
"Raids","1","Alexander - The Arm of the Father (Savage)","60","200","","/lodestone/playguide/db/duty/aa5e1798294/"
"Raids","1","Alexander - The Burden of the Father (Savage)","60","205","","/lodestone/playguide/db/duty/fd7aa157f29/"
"Raids","1","Alexander - The Fist of the Son (Savage)","60","215","","/lodestone/playguide/db/duty/2cf52917501/"
"Raids","1","Alexander - The Cuff of the Son (Savage)","60","220","","/lodestone/playguide/db/duty/0ed79e8abf3/"
"Raids","1","Alexander - The Arm of the Son (Savage)","60","225","","/lodestone/playguide/db/duty/e003bd330e2/"
"Raids","1","Alexander - The Burden of the Son (Savage)","60","225","","/lodestone/playguide/db/duty/f93d68d7d3c/"
"Raids","1","Alexander - The Eyes of the Creator (Savage)","60","245","","/lodestone/playguide/db/duty/20c0e4f75a6/"
"Raids","1","Alexander - The Breath of the Creator (Savage)","60","250","","/lodestone/playguide/db/duty/d5f9f998466/"
"Raids","1","Alexander - The Heart of the Creator (Savage)","60","255","","/lodestone/playguide/db/duty/a1ebaba1ae8/"
"Raids","1","Alexander - The Soul of the Creator (Savage)","60","255","","/lodestone/playguide/db/duty/def61a894af/"
"Raids","2","The Royal City of Rabanastre","70","305","","/lodestone/playguide/db/duty/56209386296/"
"Raids","2","The Ridorana Lighthouse","70","335","","/lodestone/playguide/db/duty/390fb10fd68/"
"Raids","2","The Orbonne Monastery","70","365","","/lodestone/playguide/db/duty/95dbcc947db/"
"Raids","2","Deltascape V1.0","70","295","","/lodestone/playguide/db/duty/8e7cf4fcca2/"
"Raids","2","Deltascape V2.0","70","295","","/lodestone/playguide/db/duty/9322cea310c/"
"Raids","2","Deltascape V3.0","70","295","","/lodestone/playguide/db/duty/1d0f4877cf2/"
"Raids","2","Deltascape V4.0","70","295","","/lodestone/playguide/db/duty/76f228004f2/"
"Raids","2","Sigmascape V1.0","70","325","","/lodestone/playguide/db/duty/98bb0f8e2f5/"
"Raids","2","Sigmascape V2.0","70","325","","/lodestone/playguide/db/duty/e89c7361d67/"
"Raids","2","Sigmascape V3.0","70","325","","/lodestone/playguide/db/duty/dd9b573806a/"
"Raids","2","Sigmascape V4.0","70","325","","/lodestone/playguide/db/duty/f6bdf734a4a/"
"Raids","2","Alphascape V1.0","70","355","","/lodestone/playguide/db/duty/4cdb4098c20/"
"Raids","2","Alphascape V2.0","70","355","","/lodestone/playguide/db/duty/43a122b16c2/"
"Raids","2","Alphascape V3.0","70","355","","/lodestone/playguide/db/duty/0b697689a12/"
"Raids","2","Alphascape V4.0","70","355","","/lodestone/playguide/db/duty/6164ec419fe/"
"Raids","2","Deltascape V1.0 (Savage)","70","310","","/lodestone/playguide/db/duty/7ba45eb83a8/"
"Raids","2","Deltascape V2.0 (Savage)","70","315","","/lodestone/playguide/db/duty/8e638aa5413/"
"Raids","2","Deltascape V3.0 (Savage)","70","320","","/lodestone/playguide/db/duty/1b57dd15e71/"
"Raids","2","Deltascape V4.0 (Savage)","70","320","","/lodestone/playguide/db/duty/0b519d7fd00/"
"Raids","2","Sigmascape V1.0 (Savage)","70","340","","/lodestone/playguide/db/duty/c6a225d5436/"
"Raids","2","Sigmascape V2.0 (Savage)","70","345","","/lodestone/playguide/db/duty/be562bd1bdc/"
"Raids","2","Sigmascape V3.0 (Savage)","70","350","","/lodestone/playguide/db/duty/6196f1cd409/"
"Raids","2","Sigmascape V4.0 (Savage)","70","350","","/lodestone/playguide/db/duty/28d9a03c886/"
"Raids","2","Alphascape V1.0 (Savage)","70","370","","/lodestone/playguide/db/duty/da2590c3569/"
"Raids","2","Alphascape V2.0 (Savage)","70","375","","/lodestone/playguide/db/duty/aa718108575/"
"Raids","2","Alphascape V3.0 (Savage)","70","380","","/lodestone/playguide/db/duty/5e1eccd3304/"
"Raids","2","Alphascape V4.0 (Savage)","70","380","","/lodestone/playguide/db/duty/33360b27f26/"
"Raids","3","The Copied Factory","80","435","","/lodestone/playguide/db/duty/ed86e5291b2/"
"Raids","3","The Puppets' Bunker","80","465","","/lodestone/playguide/db/duty/889b8d8cfa4/"
"Raids","3","The Tower at Paradigm's Breach","80","495","","/lodestone/playguide/db/duty/f1a29897772/"
"Raids","3","Eden's Gate: Resurrection","80","425","","/lodestone/playguide/db/duty/a3549ccbd94/"
"Raids","3","Eden's Gate: Descent","80","425","","/lodestone/playguide/db/duty/f82bc5d8d71/"
"Raids","3","Eden's Gate: Inundation","80","425","","/lodestone/playguide/db/duty/4618e49f844/"
"Raids","3","Eden's Gate: Sepulture","80","425","","/lodestone/playguide/db/duty/b2a4cb98763/"
"Raids","3","Eden's Verse: Fulmination","80","455","","/lodestone/playguide/db/duty/d743dcfe06a/"
"Raids","3","Eden's Verse: Furor","80","455","","/lodestone/playguide/db/duty/cdc9ff33eff/"
"Raids","3","Eden's Verse: Iconoclasm","80","455","","/lodestone/playguide/db/duty/96ff35ae58b/"
"Raids","3","Eden's Verse: Refulgence","80","455","","/lodestone/playguide/db/duty/2024c23c039/"
"Raids","3","Eden's Promise: Umbra","80","485","","/lodestone/playguide/db/duty/83f9103a01c/"
"Raids","3","Eden's Promise: Litany","80","485","","/lodestone/playguide/db/duty/aafa2130da3/"
"Raids","3","Eden's Promise: Anamorphosis","80","485","","/lodestone/playguide/db/duty/ada07e3d029/"
"Raids","3","Eden's Promise: Eternity","80","485","","/lodestone/playguide/db/duty/d53631d5202/"
"Raids","3","Eden's Gate: Resurrection (Savage)","80","440","","/lodestone/playguide/db/duty/b82ab97c785/"
"Raids","3","Eden's Gate: Descent (Savage)","80","445","","/lodestone/playguide/db/duty/7616847b849/"
"Raids","3","Eden's Gate: Inundation (Savage)","80","450","","/lodestone/playguide/db/duty/3a52efcba77/"
"Raids","3","Eden's Gate: Sepulture (Savage)","80","450","","/lodestone/playguide/db/duty/3f2c9ddbe05/"
"Raids","3","Eden's Verse: Fulmination (Savage)","80","470","","/lodestone/playguide/db/duty/718aa90e33d/"
"Raids","3","Eden's Verse: Furor (Savage)","80","475","","/lodestone/playguide/db/duty/8e7439e713d/"
"Raids","3","Eden's Verse: Iconoclasm (Savage)","80","480","","/lodestone/playguide/db/duty/cfa4ab23330/"
"Raids","3","Eden's Verse: Refulgence (Savage)","80","480","","/lodestone/playguide/db/duty/46c4d21a738/"
"Raids","3","Eden's Promise: Umbra (Savage)","80","500","","/lodestone/playguide/db/duty/a1d3734280f/"
"Raids","3","Eden's Promise: Litany (Savage)","80","505","","/lodestone/playguide/db/duty/efd7884c5da/"
"Raids","3","Eden's Promise: Anamorphosis (Savage)","80","510","","/lodestone/playguide/db/duty/b890b8c68d5/"
"Raids","3","Eden's Promise: Eternity (Savage)","80","510","","/lodestone/playguide/db/duty/6a038f0d5ef/"
"Raids","4","Aglaia","90","565","","/lodestone/playguide/db/duty/ced36158c27/"
"Raids","4","Euphrosyne","90","595","","/lodestone/playguide/db/duty/990f420dd6e/"
"Raids","4","Thaleia","90","625","","/lodestone/playguide/db/duty/d4b9d40f28b/"
"Raids","4","Asphodelos: The First Circle","90","565","","/lodestone/playguide/db/duty/87c1d270e4a/"
"Raids","4","Asphodelos: The Second Circle","90","565","","/lodestone/playguide/db/duty/53197e092c0/"
"Raids","4","Asphodelos: The Third Circle","90","565","","/lodestone/playguide/db/duty/489f861eb7b/"
"Raids","4","Asphodelos: The Fourth Circle","90","565","","/lodestone/playguide/db/duty/8766feb6d35/"
"Raids","4","Abyssos: The Fifth Circle","90","585","","/lodestone/playguide/db/duty/d214bf6237c/"
"Raids","4","Abyssos: The Sixth Circle","90","585","","/lodestone/playguide/db/duty/96af4bd34f2/"
"Raids","4","Abyssos: The Seventh Circle","90","585","","/lodestone/playguide/db/duty/0929b0c05bc/"
"Raids","4","Abyssos: The Eighth Circle","90","585","","/lodestone/playguide/db/duty/4d2ad8ae660/"
"Raids","4","Anabaseios: The Ninth Circle","90","615","","/lodestone/playguide/db/duty/27ea99ce75a/"
"Raids","4","Anabaseios: The Tenth Circle","90","615","","/lodestone/playguide/db/duty/335e519ce87/"
"Raids","4","Anabaseios: The Eleventh Circle","90","615","","/lodestone/playguide/db/duty/e142dd574bd/"
"Raids","4","Anabaseios: The Twelfth Circle","90","615","","/lodestone/playguide/db/duty/33b1d5ca8c6/"
"Raids","4","Asphodelos: The First Circle (Savage)","90","570","","/lodestone/playguide/db/duty/4b208ad41f2/"
"Raids","4","Asphodelos: The Second Circle (Savage)","90","575","","/lodestone/playguide/db/duty/35e4afe3707/"
"Raids","4","Asphodelos: The Third Circle (Savage)","90","580","","/lodestone/playguide/db/duty/a0917729fae/"
"Raids","4","Asphodelos: The Fourth Circle (Savage)","90","580","","/lodestone/playguide/db/duty/ae08cc4d4bf/"
"Raids","4","Abyssos: The Fifth Circle (Savage)","90","600","","/lodestone/playguide/db/duty/2fde7757141/"
"Raids","4","Abyssos: The Sixth Circle (Savage)","90","605","","/lodestone/playguide/db/duty/8c58de9229d/"
"Raids","4","Abyssos: The Seventh Circle (Savage)","90","610","","/lodestone/playguide/db/duty/8d0f4a3b03c/"
"Raids","4","Abyssos: The Eighth Circle (Savage)","90","610","","/lodestone/playguide/db/duty/415152e3e5d/"
"Raids","4","Anabaseios: The Ninth Circle (Savage)","90","630","","/lodestone/playguide/db/duty/aec1462687d/"
"Raids","4","Anabaseios: The Tenth Circle (Savage)","90","635","","/lodestone/playguide/db/duty/5f4cfac710d/"
"Raids","4","Anabaseios: The Eleventh Circle (Savage)","90","640","","/lodestone/playguide/db/duty/d10aca4942d/"
"Raids","4","Anabaseios: The Twelfth Circle (Savage)","90","640","","/lodestone/playguide/db/duty/870a31c60c4/"
"Raids","5","Jeuno: The First Walk","100","695","","/lodestone/playguide/db/duty/1318e475557/"
"Raids","5","San d'Oria: The Second Walk","100","725","","/lodestone/playguide/db/duty/2659bec79dd/"
"Raids","5","Windurst: The Third Walk","100","755","NEW","/lodestone/playguide/db/duty/e40698b1f19/"
"Raids","5","AAC Light-heavyweight M1","100","685","","/lodestone/playguide/db/duty/cc1de0a3c10/"
"Raids","5","AAC Light-heavyweight M2","100","685","","/lodestone/playguide/db/duty/6eb0b53fed5/"
"Raids","5","AAC Light-heavyweight M3","100","685","","/lodestone/playguide/db/duty/107e7c1240f/"
"Raids","5","AAC Light-heavyweight M4","100","685","","/lodestone/playguide/db/duty/d247d8e66b5/"
"Raids","5","AAC Cruiserweight M1","100","715","","/lodestone/playguide/db/duty/ab1b1344b17/"
"Raids","5","AAC Cruiserweight M2","100","715","","/lodestone/playguide/db/duty/708f405c964/"
"Raids","5","AAC Cruiserweight M3","100","715","","/lodestone/playguide/db/duty/9f10feac1d7/"
"Raids","5","AAC Cruiserweight M4","100","715","","/lodestone/playguide/db/duty/435f30bec71/"
"Raids","5","AAC Heavyweight M1","100","745","","/lodestone/playguide/db/duty/6da40c894e4/"
"Raids","5","AAC Heavyweight M2","100","745","","/lodestone/playguide/db/duty/34c67ccecb0/"
"Raids","5","AAC Heavyweight M3","100","745","","/lodestone/playguide/db/duty/670eb3e2b6a/"
"Raids","5","AAC Heavyweight M4","100","745","","/lodestone/playguide/db/duty/6e8717f3032/"
"Raids","5","AAC Light-heavyweight M1 (Savage)","100","700","","/lodestone/playguide/db/duty/07948fe0134/"
"Raids","5","AAC Light-heavyweight M2 (Savage)","100","705","","/lodestone/playguide/db/duty/9b007f16ff1/"
"Raids","5","AAC Light-heavyweight M3 (Savage)","100","710","","/lodestone/playguide/db/duty/c0e63a9310f/"
"Raids","5","AAC Light-heavyweight M4 (Savage)","100","710","","/lodestone/playguide/db/duty/34b593269b4/"
"Raids","5","AAC Cruiserweight M1 (Savage)","100","730","","/lodestone/playguide/db/duty/44ba561a03b/"
"Raids","5","AAC Cruiserweight M2 (Savage)","100","735","","/lodestone/playguide/db/duty/758b74dc0be/"
"Raids","5","AAC Cruiserweight M3 (Savage)","100","740","","/lodestone/playguide/db/duty/4ff435d67fa/"
"Raids","5","AAC Cruiserweight M4 (Savage)","100","740","","/lodestone/playguide/db/duty/e9a3fbb3112/"
"Raids","5","AAC Heavyweight M1 (Savage)","100","760","","/lodestone/playguide/db/duty/3ea058f9348/"
"Raids","5","AAC Heavyweight M2 (Savage)","100","765","","/lodestone/playguide/db/duty/dfd2edd76f7/"
"Raids","5","AAC Heavyweight M3 (Savage)","100","770","","/lodestone/playguide/db/duty/83e7eae649b/"
"Raids","5","AAC Heavyweight M4 (Savage)","100","770","","/lodestone/playguide/db/duty/55f77a8592c/"
"Ultimate","2","The Unending Coil of Bahamut (Ultimate)","70","-","","/lodestone/playguide/db/duty/1a863f1ea3b/"
"Ultimate","2","The Weapon's Refrain (Ultimate)","70","-","","/lodestone/playguide/db/duty/e6c2c586ba6/"
"Ultimate","3","The Epic of Alexander (Ultimate)","80","-","","/lodestone/playguide/db/duty/b56710190e9/"
"Ultimate","4","Dragonsong's Reprise (Ultimate)","90","-","","/lodestone/playguide/db/duty/ba184b63c2d/"
"Ultimate","4","The Omega Protocol (Ultimate)","90","-","","/lodestone/playguide/db/duty/dccacd176f4/"
"Ultimate","5","Futures Rewritten (Ultimate)","100","-","","/lodestone/playguide/db/duty/d7ca52c7e6c/"
"Ultimate","5","Dancing Mad (Ultimate)","100","-","NEW","/lodestone/playguide/db/duty/71401e7e274/"
