"Ver","Name","ReqLevel","AvgItemLevel","Link"
"1","Hullbreaker Isle (Hard)","60","200","/lodestone/playguide/db/duty/313b1415d0f/"
"1","Xelphatol","60","210","/lodestone/playguide/db/duty/1d95a773990/"
"1","The Great Gubal Library (Hard)","60","210","/lodestone/playguide/db/duty/d6e98e35e6f/"
"1","Baelsar's Wall","60","230","/lodestone/playguide/db/duty/bc72ef27ade/"
"1","Sohm Al (Hard)","60","230","/lodestone/playguide/db/duty/9bd9004a140/"
"2","The Sirensong Sea","61","240","/lodestone/playguide/db/duty/471227e1ee7/"
"2","Shisui of the Violet Tides","63","245","/lodestone/playguide/db/duty/39ba54ada1c/"
"2","Bardam's Mettle","65","250","/lodestone/playguide/db/duty/53d7100d839/"
"2","Doma Castle","67","255","/lodestone/playguide/db/duty/cd924bd8eac/"
"2","Castrum Abania","69","260","/lodestone/playguide/db/duty/e635797754f/"
"2","Ala Mhigo","70","280","/lodestone/playguide/db/duty/c71bb06e67b/"
"2","Kugane Castle","70","280","/lodestone/playguide/db/duty/37d0e83919d/"
"2","The Temple of the Fist","70","280","/lodestone/playguide/db/duty/23edcb0d626/"
"2","The Drowned City of Skalla","70","300","/lodestone/playguide/db/duty/47ef709fb04/"
"2","Hells' Lid","70","310","/lodestone/playguide/db/duty/f9ab5899e9d/"
"2","The Fractal Continuum (Hard)","70","310","/lodestone/playguide/db/duty/b8bea03880d/"
"2","The Swallow's Compass","70","330","/lodestone/playguide/db/duty/35ed52cf463/"
"2","The Burn","70","340","/lodestone/playguide/db/duty/c8608c977a6/"
"2","Saint Mocianne's Arboretum (Hard)","70","340","/lodestone/playguide/db/duty/25cf070eeb4/"
"2","The Ghimlyt Dark","70","360","/lodestone/playguide/db/duty/33a05f144e4/"
"3","Holminster Switch","71","370","/lodestone/playguide/db/duty/a6165958a5c/"
"3","Dohn Mheg","73","375","/lodestone/playguide/db/duty/5f9f024b774/"
"3","The Qitana Ravel","75","380","/lodestone/playguide/db/duty/3aff2d6760c/"
"3","Malikah's Well","77","385","/lodestone/playguide/db/duty/f8fff809d77/"
"3","Mt. Gulg","79","390","/lodestone/playguide/db/duty/72f2e86daba/"
"3","Amaurot","80","410","/lodestone/playguide/db/duty/c5de427bfef/"
"3","The Twinning","80","410","/lodestone/playguide/db/duty/be6a14f45a6/"
"3","Akadaemia Anyder","80","410","/lodestone/playguide/db/duty/d2b053e4e31/"
"3","The Grand Cosmos","80","430","/lodestone/playguide/db/duty/1f246825352/"
"3","Anamnesis Anyder","80","440","/lodestone/playguide/db/duty/969e6501eb7/"
"3","The Heroes' Gauntlet","80","460","/lodestone/playguide/db/duty/44073b7449c/"
"3","Matoya's Relict","80","470","/lodestone/playguide/db/duty/5a30eb6b20d/"
"3","Paglth'an","80","490","/lodestone/playguide/db/duty/81f08141768/"
"4","The Tower of Zot","81","500","/lodestone/playguide/db/duty/9c317b74e3a/"
"4","The Tower of Babil","83","505","/lodestone/playguide/db/duty/3297718033f/"
"4","Vanaspati","85","510","/lodestone/playguide/db/duty/dadcd891cc1/"
"4","Ktisis Hyperboreia","87","515","/lodestone/playguide/db/duty/8514a64c969/"
"4","The Aitiascope","89","520","/lodestone/playguide/db/duty/fd65b266f55/"
"4","The Dead Ends","90","540","/lodestone/playguide/db/duty/ba59c193b71/"
"4","Smileton","90","540","/lodestone/playguide/db/duty/175e6a7245d/"
"4","The Stigma Dreamscape","90","540","/lodestone/playguide/db/duty/25f8ec27427/"
"4","Alzadaal's Legacy","90","560","/lodestone/playguide/db/duty/d56ff366a07/"
"4","The Fell Court of Troia","90","575","/lodestone/playguide/db/duty/d75f0e7733b/"
"4","Lapis Manalis","90","590","/lodestone/playguide/db/duty/ce91893321f/"
"4","The Aetherfont","90","605","/lodestone/playguide/db/duty/ee802d0c0ef/"
"4","The Lunar Subterrane","90","620","/lodestone/playguide/db/duty/f3d52caf5b5/"
"5","Ihuykatumu","91","630","/lodestone/playguide/db/duty/259c37be2ea/"
"5","Worqor Zormor","93","635","/lodestone/playguide/db/duty/3234aee78f4/"
"5","The Skydeep Cenote","95","640","/lodestone/playguide/db/duty/e96880d0f74/"
"5","Vanguard","97","645","/lodestone/playguide/db/duty/fde94d8793d/"
"5","Origenics","99","650","/lodestone/playguide/db/duty/5fed58bd8cb/"
"5","Alexandria","100","670","/lodestone/playguide/db/duty/1e2a6c0010b/"
"5","Tender Valley","100","670","/lodestone/playguide/db/duty/915e0e65c0c/"
"5","The Strayborough Deadwalk","100","670","/lodestone/playguide/db/duty/cd523999c2e/"
"5","Yuweyawata Field Station","100","690","/lodestone/playguide/db/duty/d6db03218c4/"
"5","The Underkeep","100","705","/lodestone/playguide/db/duty/25a4d40f3f1/"
"5","The Meso Terminal","100","720","/lodestone/playguide/db/duty/abbf8a4eef4/"
"5","Mistwake","100","735","/lodestone/playguide/db/duty/6a4b324a5c5/"
"5","The Clyteum","100","750","/lodestone/playguide/db/duty/9b60aea1679/"
