"Chapter","Expansion","Kind","Category","Tier","Name","ReqLevel","ItemLevel","Link"
"1","ARR (2.0)","Dungeon","Dungeon","Dungeon","Dzemael Darkhold","44",,"https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/4a36cbca533/"
"1","ARR (2.0)","Dungeon","Dungeon","Dungeon","The Aurum Vale","47",,"https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/f507633618c/"
"1","ARR (2.0)","Dungeon","Dungeon","Dungeon","Castrum Meridianum","50","42","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/59c2b3b84fa/"
"1","ARR (2.0)","Dungeon","Dungeon","Dungeon","The Praetorium","50","42","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/f6de0165484/"
"1","ARR (2.0)","Dungeon","Dungeon","Dungeon","Amdapor Keep","50","45","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/ae8a92122ec/"
"1","ARR (2.0)","Dungeon","Dungeon","Dungeon","The Wanderer's Palace","50","45","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/3fd66be47b2/"
"1","ARR (2.0)","Dungeon","Dungeon","Dungeon","Copperbell Mines (Hard)","50","48","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/a780ca9b970/"
"1","ARR (2.0)","Dungeon","Dungeon","Dungeon","Haukke Manor (Hard)","50","48","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/61c74c68e00/"
"1","ARR (2.0)","Dungeon","Dungeon","Dungeon","Pharos Sirius","50","48","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/a8dd3748467/"
"1","ARR (2.0)","Dungeon","Dungeon","Dungeon","Brayflox's Longstop (Hard)","50","55","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/40681f6c94a/"
"1","ARR (2.0)","Dungeon","Dungeon","Dungeon","Halatali (Hard)","50","55","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/d536b8f0cc8/"
"1","ARR (2.0)","Dungeon","Dungeon","Dungeon","The Lost City of Amdapor","50","55","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/87d3b951d3d/"
"1","ARR (2.0)","Dungeon","Dungeon","Dungeon","Hullbreaker Isle","50","70","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/18aeffad7c5/"
"1","ARR (2.0)","Dungeon","Dungeon","Dungeon","The Stone Vigil (Hard)","50","70","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/418628edfbf/"
"1","ARR (2.0)","Dungeon","Dungeon","Dungeon","The Tam-Tara Deepcroft (Hard)","50","70","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/84d01fe5b6c/"
"1","ARR (2.0)","Dungeon","Dungeon","Dungeon","Sastasha (Hard)","50","80","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/df38ed5c808/"
"1","ARR (2.0)","Dungeon","Dungeon","Dungeon","Snowcloak","50","80","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/6f1778eb631/"
"1","ARR (2.0)","Dungeon","Dungeon","Dungeon","The Sunken Temple of Qarn (Hard)","50","80","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/6b35d4a1179/"
"1","ARR (2.0)","Dungeon","Dungeon","Dungeon","Amdapor Keep (Hard)","50","90","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/a4288ecf826/"
"1","ARR (2.0)","Dungeon","Dungeon","Dungeon","The Keeper of the Lake","50","90","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/5e75d2059af/"
"1","ARR (2.0)","Dungeon","Dungeon","Dungeon","The Wanderer's Palace (Hard)","50","90","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/7c11b0ba080/"
"1","ARR (2.0)","Duty","Raids","Raid-Normal","The Binding Coil of Bahamut - Turn 1","50","70","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/fade6531524/"
"1","ARR (2.0)","Duty","Raids","Raid-Normal","The Binding Coil of Bahamut - Turn 3","50","70","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/e67a875fc85/"
"1","ARR (2.0)","Duty","Raids","Raid-Normal","The Binding Coil of Bahamut - Turn 2","50","73","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/9c359c635d7/"
"1","ARR (2.0)","Duty","Raids","Raid-Normal","The Binding Coil of Bahamut - Turn 4","50","77","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/f5e0e0bdfbe/"
"1","ARR (2.0)","Duty","Raids","Raid-Normal","The Binding Coil of Bahamut - Turn 5","50","82","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/7134211f501/"
"1","ARR (2.0)","Duty","Raids","Raid-Normal","The Second Coil of Bahamut - Turn 1","50","90","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/744fe0d9e6e/"
"1","ARR (2.0)","Duty","Raids","Raid-Normal","The Second Coil of Bahamut - Turn 2","50","95","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/400cba1a77d/"
"1","ARR (2.0)","Duty","Raids","Raid-Normal","The Second Coil of Bahamut - Turn 3","50","100","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/87e821480bb/"
"1","ARR (2.0)","Duty","Raids","Raid-Normal","The Second Coil of Bahamut - Turn 4","50","105","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/1fed5f286f0/"
"1","ARR (2.0)","Duty","Raids","Raid-Normal","The Final Coil of Bahamut - Turn 1","50","110","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/debdbcb0b6a/"
"1","ARR (2.0)","Duty","Raids","Raid-Normal","The Final Coil of Bahamut - Turn 2","50","115","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/bcb01b1b218/"
"1","ARR (2.0)","Duty","Raids","Raid-Normal","The Final Coil of Bahamut - Turn 3","50","120","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/d23c00881c6/"
"1","ARR (2.0)","Duty","Raids","Raid-Normal","The Final Coil of Bahamut - Turn 4","50","123","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/f086f0517d0/"
"1","ARR (2.0)","Duty","Raids","Raid-Savage","The Second Coil of Bahamut (Savage) - Turn 1","50","105","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/80a9ef97b78/"
"1","ARR (2.0)","Duty","Raids","Raid-Savage","The Second Coil of Bahamut (Savage) - Turn 2","50","105","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/853b4775a42/"
"1","ARR (2.0)","Duty","Raids","Raid-Savage","The Second Coil of Bahamut (Savage) - Turn 3","50","105","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/a674fe41a1a/"
"1","ARR (2.0)","Duty","Raids","Raid-Savage","The Second Coil of Bahamut (Savage) - Turn 4","50","105","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/0065196fbe4/"
"1","ARR (2.0)","Duty","Trials","Trial-Extreme","The Howling Eye (Extreme)","50","65","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/7c17ae70cc6/"
"1","ARR (2.0)","Duty","Trials","Trial-Extreme","The Navel (Extreme)","50","67","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/589c727302e/"
"1","ARR (2.0)","Duty","Trials","Trial-Extreme","The Bowl of Embers (Extreme)","50","70","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/6af1a94ccca/"
"1","ARR (2.0)","Duty","Trials","Trial-Extreme","The <i>Whorleater</i> (Extreme)","50","80","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/0850a8627aa/"
"1","ARR (2.0)","Duty","Trials","Trial-Extreme","Thornmarch (Extreme)","50","80","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/b7c47c44490/"
"1","ARR (2.0)","Duty","Trials","Trial-Extreme","The Striking Tree (Extreme)","50","85","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/4d8cae741db/"
"1","ARR (2.0)","Duty","Trials","Trial-Extreme","The Akh Afah Amphitheatre (Extreme)","50","95","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/5f786d57228/"
"1","ARR (2.0)","Duty","Trials","Trial-Normal","The Bowl of Embers","20",,"https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/c3e6020e9e6/"
"1","ARR (2.0)","Duty","Trials","Trial-Normal","The Navel","34",,"https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/859d01176cd/"
"1","ARR (2.0)","Duty","Trials","Trial-Normal","The Howling Eye","44",,"https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/9c8db3d95b6/"
"1","ARR (2.0)","Duty","Trials","Trial-Normal","The Porta Decumana","50","42","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/f369418dbf8/"
"1","ARR (2.0)","Duty","Trials","Trial-Normal","The Bowl of Embers (Hard)","50","49","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/2640986aff3/"
"1","ARR (2.0)","Duty","Trials","Trial-Normal","Battle on the Big Bridge","50","50","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/c370021f429/"
"1","ARR (2.0)","Duty","Trials","Trial-Normal","A Relic Reborn: the Chimera","50","52","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/decf353d4e7/"
"1","ARR (2.0)","Duty","Trials","Trial-Normal","A Relic Reborn: the Hydra","50","52","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/c87fbc421a0/"
"1","ARR (2.0)","Duty","Trials","Trial-Normal","The Howling Eye (Hard)","50","52","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/b74b4328a17/"
"1","ARR (2.0)","Duty","Trials","Trial-Normal","Thornmarch (Hard)","50","54","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/6a88aecaec1/"
"1","ARR (2.0)","Duty","Trials","Trial-Normal","The Navel (Hard)","50","57","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/349d6ca4465/"
"1","ARR (2.0)","Duty","Trials","Trial-Normal","The <i>Whorleater</i> (Hard)","50","60","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/a9147177b7a/"
"1","ARR (2.0)","Duty","Trials","Trial-Normal","The Minstrel's Ballad: Ultima's Bane","50","61","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/0de44d2eccf/"
"1","ARR (2.0)","Duty","Trials","Trial-Normal","The Striking Tree (Hard)","50","65","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/520ffafb60d/"
"1","ARR (2.0)","Duty","Trials","Trial-Normal","The Akh Afah Amphitheatre (Hard)","50","80","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/c38bedcfa46/"
"1","ARR (2.0)","Duty","Trials","Trial-Normal","The Dragon's Neck","50","80","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/a74020d08e8/"
"1","ARR (2.0)","Duty","Trials","Trial-Normal","Battle in the Big Keep","50","90","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/cb876745bce/"
"1","ARR (2.0)","Duty","Trials","Trial-Normal","The Chrysalis","50","90","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/2fac3746c16/"
"1","ARR (2.0)","Duty","Trials","Trial-Normal","Urth's Fount","50","95","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/21d8c5bd54b/"
"2","Heavensward (3.0)","Duty","Raids","Alliance-Raid","The Void Ark","60","175","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/07fc9cb5bc8/"
"2","Heavensward (3.0)","Duty","Raids","Alliance-Raid","The Weeping City of Mhach","60","205","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/b0a1515fd3d/"
"2","Heavensward (3.0)","Duty","Raids","Alliance-Raid","Dun Scaith","60","235","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/35a8825ed8e/"
"2","Heavensward (3.0)","Dungeon","Dungeon","Dungeon","The Dusk Vigil","51","100","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/df5ab8bfd61/"
"2","Heavensward (3.0)","Dungeon","Dungeon","Dungeon","Sohm Al","53","105","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/eed0add7a62/"
"2","Heavensward (3.0)","Dungeon","Dungeon","Dungeon","The Aery","55","110","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/339c4923556/"
"2","Heavensward (3.0)","Dungeon","Dungeon","Dungeon","The Vault","57","115","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/a62f7ee3718/"
"2","Heavensward (3.0)","Dungeon","Dungeon","Dungeon","The Great Gubal Library","59","120","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/f368b40c648/"
"2","Heavensward (3.0)","Dungeon","Dungeon","Dungeon","The Aetherochemical Research Facility","60","142","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/923e0a1d1d0/"
"2","Heavensward (3.0)","Dungeon","Dungeon","Dungeon","Neverreap","60","145","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/618168354ea/"
"2","Heavensward (3.0)","Dungeon","Dungeon","Dungeon","The Fractal Continuum","60","145","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/c39cf50a6a5/"
"2","Heavensward (3.0)","Dungeon","Dungeon","Dungeon","Pharos Sirius (Hard)","60","170","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/cd500c08682/"
"2","Heavensward (3.0)","Dungeon","Dungeon","Dungeon","Saint Mocianne's Arboretum","60","170","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/cdad1cb65e8/"
"2","Heavensward (3.0)","Dungeon","Dungeon","Dungeon","The Antitower","60","180","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/36e172ff46c/"
"2","Heavensward (3.0)","Dungeon","Dungeon","Dungeon","The Lost City of Amdapor (Hard)","60","180","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/193a96b0fa4/"
"2","Heavensward (3.0)","Dungeon","Dungeon","Dungeon","Hullbreaker Isle (Hard)","60","200","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/313b1415d0f/"
"2","Heavensward (3.0)","Dungeon","Dungeon","Dungeon","Sohr Khai","60","200","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/a8c7c5c13bd/"
"2","Heavensward (3.0)","Dungeon","Dungeon","Dungeon","The Great Gubal Library (Hard)","60","210","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/d6e98e35e6f/"
"2","Heavensward (3.0)","Dungeon","Dungeon","Dungeon","Xelphatol","60","210","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/1d95a773990/"
"2","Heavensward (3.0)","Dungeon","Dungeon","Dungeon","Baelsar's Wall","60","230","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/bc72ef27ade/"
"2","Heavensward (3.0)","Dungeon","Dungeon","Dungeon","Sohm Al (Hard)","60","230","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/9bd9004a140/"
"2","Heavensward (3.0)","Duty","Raids","Raid-Normal","Alexander - The Arm of the Father","60","170","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/16d0ba16753/"
"2","Heavensward (3.0)","Duty","Raids","Raid-Normal","Alexander - The Burden of the Father","60","170","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/0e9dbcd3e88/"
"2","Heavensward (3.0)","Duty","Raids","Raid-Normal","Alexander - The Cuff of the Father","60","170","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/157799be6d1/"
"2","Heavensward (3.0)","Duty","Raids","Raid-Normal","Alexander - The Fist of the Father","60","170","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/5877d34ab3d/"
"2","Heavensward (3.0)","Duty","Raids","Raid-Normal","Alexander - The Arm of the Son","60","200","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/b919a88ec20/"
"2","Heavensward (3.0)","Duty","Raids","Raid-Normal","Alexander - The Burden of the Son","60","200","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/d3146ecb9f8/"
"2","Heavensward (3.0)","Duty","Raids","Raid-Normal","Alexander - The Cuff of the Son","60","200","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/1a42720a2b8/"
"2","Heavensward (3.0)","Duty","Raids","Raid-Normal","Alexander - The Fist of the Son","60","200","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/39c6854e6a8/"
"2","Heavensward (3.0)","Duty","Raids","Raid-Normal","Alexander - The Breath of the Creator","60","230","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/54cc9b3db16/"
"2","Heavensward (3.0)","Duty","Raids","Raid-Normal","Alexander - The Eyes of the Creator","60","230","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/91e7c2d4647/"
"2","Heavensward (3.0)","Duty","Raids","Raid-Normal","Alexander - The Heart of the Creator","60","230","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/3c58fc35be5/"
"2","Heavensward (3.0)","Duty","Raids","Raid-Normal","Alexander - The Soul of the Creator","60","230","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/5516e8fd14f/"
"2","Heavensward (3.0)","Duty","Raids","Raid-Savage","Alexander - The Fist of the Father (Savage)","60","190","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/747c862dc22/"
"2","Heavensward (3.0)","Duty","Raids","Raid-Savage","Alexander - The Cuff of the Father (Savage)","60","195","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/820a11812ab/"
"2","Heavensward (3.0)","Duty","Raids","Raid-Savage","Alexander - The Arm of the Father (Savage)","60","200","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/aa5e1798294/"
"2","Heavensward (3.0)","Duty","Raids","Raid-Savage","Alexander - The Burden of the Father (Savage)","60","205","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/fd7aa157f29/"
"2","Heavensward (3.0)","Duty","Raids","Raid-Savage","Alexander - The Fist of the Son (Savage)","60","215","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/2cf52917501/"
"2","Heavensward (3.0)","Duty","Raids","Raid-Savage","Alexander - The Cuff of the Son (Savage)","60","220","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/0ed79e8abf3/"
"2","Heavensward (3.0)","Duty","Raids","Raid-Savage","Alexander - The Arm of the Son (Savage)","60","225","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/e003bd330e2/"
"2","Heavensward (3.0)","Duty","Raids","Raid-Savage","Alexander - The Burden of the Son (Savage)","60","225","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/f93d68d7d3c/"
"2","Heavensward (3.0)","Duty","Raids","Raid-Savage","Alexander - The Eyes of the Creator (Savage)","60","245","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/20c0e4f75a6/"
"2","Heavensward (3.0)","Duty","Raids","Raid-Savage","Alexander - The Breath of the Creator (Savage)","60","250","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/d5f9f998466/"
"2","Heavensward (3.0)","Duty","Raids","Raid-Savage","Alexander - The Heart of the Creator (Savage)","60","255","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/a1ebaba1ae8/"
"2","Heavensward (3.0)","Duty","Raids","Raid-Savage","Alexander - The Soul of the Creator (Savage)","60","255","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/def61a894af/"
"2","Heavensward (3.0)","Duty","Trials","Trial-Extreme","The Limitless Blue (Extreme)","60","165","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/e9bb63551a4/"
"2","Heavensward (3.0)","Duty","Trials","Trial-Extreme","Thok ast Thok (Extreme)","60","175","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/83f028575c8/"
"2","Heavensward (3.0)","Duty","Trials","Trial-Extreme","Containment Bay S1T7 (Extreme)","60","205","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/e05c982993d/"
"2","Heavensward (3.0)","Duty","Trials","Trial-Extreme","Containment Bay P1T6 (Extreme)","60","235","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/212ceb19a34/"
"2","Heavensward (3.0)","Duty","Trials","Trial-Extreme","Containment Bay Z1T9 (Extreme)","60","250","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/26a86785be9/"
"2","Heavensward (3.0)","Duty","Trials","Trial-Normal","Thok ast Thok (Hard)","53",,"https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/f55bdb9e34e/"
"2","Heavensward (3.0)","Duty","Trials","Trial-Normal","The Limitless Blue (Hard)","57",,"https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/26fe48f4631/"
"2","Heavensward (3.0)","Duty","Trials","Trial-Normal","The Singularity Reactor","60","142","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/12c172943bc/"
"2","Heavensward (3.0)","Duty","Trials","Trial-Normal","Containment Bay S1T7","60","190","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/08c9d224d28/"
"2","Heavensward (3.0)","Duty","Trials","Trial-Normal","The Minstrel's Ballad: Thordan's Reign","60","190","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/a8a4860068c/"
"2","Heavensward (3.0)","Duty","Trials","Trial-Normal","The Final Steps of Faith","60","205","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/2caf2e26f12/"
"2","Heavensward (3.0)","Duty","Trials","Trial-Normal","Containment Bay P1T6","60","220","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/83e0064270d/"
"2","Heavensward (3.0)","Duty","Trials","Trial-Normal","The Minstrel's Ballad: Nidhogg's Rage","60","220","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/0e880006330/"
"2","Heavensward (3.0)","Duty","Trials","Trial-Normal","Containment Bay Z1T9","60","235","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/8ff3c52798c/"
"3","Stormblood (4.0)","Duty","Raids","Alliance-Raid","The Royal City of Rabanastre","70","305","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/56209386296/"
"3","Stormblood (4.0)","Duty","Raids","Alliance-Raid","The Ridorana Lighthouse","70","335","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/390fb10fd68/"
"3","Stormblood (4.0)","Duty","Raids","Alliance-Raid","The Orbonne Monastery","70","365","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/95dbcc947db/"
"3","Stormblood (4.0)","Dungeon","Dungeon","Dungeon","The Sirensong Sea","61","240","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/471227e1ee7/"
"3","Stormblood (4.0)","Dungeon","Dungeon","Dungeon","Shisui of the Violet Tides","63","245","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/39ba54ada1c/"
"3","Stormblood (4.0)","Dungeon","Dungeon","Dungeon","Bardam's Mettle","65","250","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/53d7100d839/"
"3","Stormblood (4.0)","Dungeon","Dungeon","Dungeon","Doma Castle","67","255","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/cd924bd8eac/"
"3","Stormblood (4.0)","Dungeon","Dungeon","Dungeon","Castrum Abania","69","260","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/e635797754f/"
"3","Stormblood (4.0)","Dungeon","Dungeon","Dungeon","Ala Mhigo","70","280","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/c71bb06e67b/"
"3","Stormblood (4.0)","Dungeon","Dungeon","Dungeon","Kugane Castle","70","280","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/37d0e83919d/"
"3","Stormblood (4.0)","Dungeon","Dungeon","Dungeon","The Temple of the Fist","70","280","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/23edcb0d626/"
"3","Stormblood (4.0)","Dungeon","Dungeon","Dungeon","The Drowned City of Skalla","70","300","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/47ef709fb04/"
"3","Stormblood (4.0)","Dungeon","Dungeon","Dungeon","Hells' Lid","70","310","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/f9ab5899e9d/"
"3","Stormblood (4.0)","Dungeon","Dungeon","Dungeon","The Fractal Continuum (Hard)","70","310","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/b8bea03880d/"
"3","Stormblood (4.0)","Dungeon","Dungeon","Dungeon","The Swallow's Compass","70","330","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/35ed52cf463/"
"3","Stormblood (4.0)","Dungeon","Dungeon","Dungeon","Saint Mocianne's Arboretum (Hard)","70","340","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/25cf070eeb4/"
"3","Stormblood (4.0)","Dungeon","Dungeon","Dungeon","The Burn","70","340","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/c8608c977a6/"
"3","Stormblood (4.0)","Dungeon","Dungeon","Dungeon","The Ghimlyt Dark","70","360","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/33a05f144e4/"
"3","Stormblood (4.0)","Duty","Raids","Raid-Normal","Deltascape V1.0","70","295","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/8e7cf4fcca2/"
"3","Stormblood (4.0)","Duty","Raids","Raid-Normal","Deltascape V2.0","70","295","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/9322cea310c/"
"3","Stormblood (4.0)","Duty","Raids","Raid-Normal","Deltascape V3.0","70","295","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/1d0f4877cf2/"
"3","Stormblood (4.0)","Duty","Raids","Raid-Normal","Deltascape V4.0","70","295","https://na.finalfantasyxiv.com/lodestone/playguide/db/duty/76f228004f2/"
